Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
key;enus;ruru;dede;eses;esmx;frfr;itit;kokr;plpl;ptbr;zhcn;zhtw
Abil/Name/250mmBarrage;250mm Barrage;250mm Barrage;250mm Barrage;250mm Barrage;Andanada de 250 mm;250mm Barrage;250mm Barrage;250mm 연발 포격;250mm Barrage;Barragem de 250 mm;250mm口径弹幕;250毫米彈幕砲擊
Abil/Name/250mmStrikeCannons;250mm Strike Cannons;250mm Strike Cannons;250mm Strike Cannons;250mm Strike Cannons;Cañones de asalto de 250mm;250mm Strike Cannons;250mm Strike Cannons;250mm 타격포;250mm Strike Cannons;Canhões de assalto de 250 mm;250毫米口径歼敌炮;250毫米突擊砲
Abil/Name/330mmBarrageCannons;330mm Barrage Cannon | 330mm Barrage Cannons;330mm Barrage Cannon | 330mm Barrage Cannons;330mm Barrage Cannon | 330mm Barrage Cannons;330mm Barrage Cannon | 330mm Barrage Cannons;Cañones de andanada de 330 mm | Cañón de andanada de 330 mm;330mm Barrage Cannon | 330mm Barrage Cannons;330mm Barrage Cannon | 330mm Barrage Cannons;330mm 연발포;330mm Barrage Cannon | 330mm Barrage Cannons;Canhão Barragem de 330 mm;330毫米口径弹幕火炮;330毫米彈幕加農砲
Abil/Name/ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;ACGlobalShareUnit;同盟指揮官全域共享單位
Abil/Name/ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy;ACGlobalShareUnitNoEnemy
Abil/Name/ACPirateCapitalShipTractorBeam;Tractor Beam;Tractor Beam;Tractor Beam;Tractor Beam;Rayo tractor;Tractor Beam;Tractor Beam;유인 광선;Tractor Beam;Raio de Tração;牵引光束;牽引光束
Abil/Name/AbathurCreateSymbiote;Create Symbiote;Create Symbiote;Create Symbiote;Create Symbiote;Create Symbiote;Create Symbiote;Create Symbiote;공생체 생성;Create Symbiote;Criar Simbionte;制造共生体;製造共生體
Abil/Name/AbathurCreepMend;Creep Mend;Creep Mend;Creep Mend;Creep Mend;Creep Mend;Creep Mend;Creep Mend;점막 치유;Creep Mend;Restauro de gosma;菌毯愈合;蟲苔療癒
Abil/Name/AbathurDeepTunnel;Deep Tunnel;Deep Tunnel;Deep Tunnel;Deep Tunnel;Deep Tunnel;Deep Tunnel;Deep Tunnel;굴 파기;Deep Tunnel;Túnel Profundo;深槽虫道;深度挖掘
