Arclite Shock Cannon;Осадная пушка «Радуга»;Arclite-Schockkanone;Cañón de impacto arcolux;Cañón de impacto Arclite;Canon choc Arclite;Cannone d'assedio Arclite;아크라이트 충격포;Działo burzące Arclite;Canhão de choque Arcolite;弧光震击炮;弧光衝擊加農砲
Armageddon Cannons;Орудия «Армагеддон»;Armageddon-Kanonen;Cañones armagedón;Cañones Armagedón;Canons Armageddon;Cannoni Armageddon;아마겟돈 포;Działa Armagedon;Canhões Armagedon;末日决战火炮;末日加農砲
Rift Beam;Рассекающий луч;Riss - Strahl;Haz de falla;Rayo fisurador;Rayon de dislocation;Raggio fenditore;균열 광선;Wiązka szczelinowa;Feixe de fenda;裂隙射线;星痕光束
Kaiser Blades;Костяные клинки;Kaiserklingen;Cuchillas káiser;Cuchillas Káiser;Lames Kaiser;Lame poderose;카이저 칼날;Ostrza Kaisera;Foice Kaiser;巨刃;巨鐮刃
Serpentis Laser Battery;Лазерная батарея «Серпент»;Serpentis-Laserbatterie;Batería de láseres serpentis;Batería láser Serpentis;Batterie de lasers Serpentis;Batteria laser Serpentis;서펜티스 레이저 포대;Bateria laserowa Serpentis;Cruzador de batalha Loki;天蛇激光炮组;巨蛇雷射砲
P-45 Gauss Pistol;Пистолет Гаусса P-45;P45-Gaußpistole;Pistola gauss P-45;Pistola Gauss P-45;Pistolet Gauss P-45;Pistola gaussiana P-45;P-45 가우스 권총;Pistolet Gaussa P-45;Pistola Gauss P45;P-45型电磁手枪;P-45電磁手槍
180mm Shock Cannon;180-мм осадная пушка;180mm-Schockkanone;Cañón de impacto de 180 mm;Cañón de impacto de 180 mm;Canon choc 180 mm;Cannone d'assedio da 180mm;180mm 충격포;Działo burzące 180 mm;Canhão de choque de 180mm;180毫米口径震击炮;180毫米衝擊加農砲
Commando Rifle;Винтовка «Коммандос»;Kommandogewehr;Fusil de comando;Rifle Comando;Fusil de commando;Fucile d'assalto;특공대원 소총;Karabin komandosa;Rifle Comando;突击步枪;突擊步槍
Concussive Grenade;Фугасная граната;Schockgranate;Granada de conmoción;Granada de concusión;Grenade incapacitante;Granata a concussione;충격 유탄;Granat ogłuszający;Granada de concussão;震荡榴弹;震撼彈
ATA Laser Battery;Лазерная батарея «воздух-воздух»;LL-Laserbatterie;Batería de láseres AA;Batería láser ATA;Batterie de lasers ATA;Batteria laser aria-aria;공대공 레이저 포대;Bateria laserów P-P;Bateria laser ATA;空对空激光炮组;ATA 雷射砲
Duke's Revenge Laser Battery;Крейсер «Возмездие Дюка» - батарея лазеров;Duke's Revenge - Laserbatterie;Batería de láseres de la Venganza de Duke;Venganza de Duke - Batería láser;Batterie de lasers de La Revanche de Duke;Incrociatore Vendetta di Duke - batteria laser;듀크의 복수단 레이저 포대;Zemsta Duke'a – bateria laserów;Vingança de Duke - Bateria de laser;杜克的复仇号激光炮组;杜克的復仇雷射砲
ATG Laser Battery;Батарея «воздух-земля»;Luft-Boden-Laserbatterie;Batería de láseres AT;Batería láser A-T;Batterie de lasers ATG;Batteria laser aria-terra;공대지 레이저 포대;Bateria laserów P-Z;Bateria laser ATG;空对地激光炮组;ATG雷射砲
ATS Laser Battery;Лазерная батарея «воздух-земля»;LB-Laserbatterie;Batería de láseres AT;Batería láser A-S;Batterie de lasers ATS;Batteria laser aria-terra;공대지 레이저 포대;Bateria laserowa P-Z;Bateria laser ATS;空对地激光炮组;ATS雷射砲
Revenger Cannons;Пушки «Мститель»;Revenger-Kanonen;Cañones de venganza;Cañones Vengador;Canons Vengeur;Cannoni Revenger;징벌포;Działa Mściciel;Canhões Revenger;复仇者火炮;復仇者加農砲
Devastator Missiles;Ракеты «Разрушитель»;Verwüster-Raketen;Misiles devastador;Misiles Devastadores;Missiles dévastateurs;Missili Devastator;초토화 미사일;Pociski Devastator;Mísseis Devastadores;破坏者飞弹;破壞者飛彈
Firestorm Flamethrower;Огнемет «Пламенный шторм»;Feuersturm-Flammenwerfer;Lanzallamas tormenta de fuego;Tormenta de fuego - Lanzallamas;Lance-flammes Tempête de feu;Lanciafiamme Firestorm;불바다 화염방사기;Miotacz ognia Firestorm;Lança-chamas Tempestade de fogo;烈焰风暴火焰喷射器;炎暴火焰發射器
Eviscerator Rail Gun;Электромагнитная пушка «Потрошитель»;Liquidierer - Railgun;Arma de raíles evisceradora;Arma de rieles Destripador;Canon électrique Éventreur;Cannone elettrico Eviscerator;파쇄 레일건;Działo kinetyczne Wypruwacz;Arma automática estripadora;处决者电磁炮;剃骨者電磁軌槍
Screecher Missiles;Ракеты «Визг»;Screecher-Raketen;Misiles estridentes;Misiles estridentes;Missiles hurleurs;Missili urlanti;고주파 미사일;Pociski piskowe;Mísseis Penetrantes;尖啸飞弹;尖嘯者飛彈
Ferocious Spew;Изрыгание кислоты;Bösartige Spucke;Escupitajo feroz;Saliva feroz;Crachat féroce;Getto violento;역겨운 분출물;Wściekłe splunięcie;Secreção feroz;凶猛喷吐;極惡噴射
Perdition Flamethrower;Огнемет «Погибель»;Inferno-Flammenwerfer;Lanzallamas perdición;Lanzallamas Perdición;Lance-flammes Perdition;Lanciafiamme Perdition;지옥 화염방사기;Miotacze ognia „Zatracenie”;Lança-chamas perdição;毁灭之炎喷射器;煉獄火噴射器
Fortress Cannons;Орудия крепости;Festungskanonen;Cañones de la fortaleza;Cañones de la fortaleza;Canons de la forteresse;Cannoni della fortezza;요새 대포;Umocnienia fortecy;Canhões da Fortaleza;要塞火炮;堡壘加農砲
Hellfire Missiles;Ракеты «Адское пламя»;Hellfire-Raketen;Misiles averno;Misiles Estigio;Missiles Feu d’enfer;Missili Hellfire;지옥불 미사일;Rakiety Hellfire;Mísseis Inferno;地狱火飞弹;地獄火飛彈
Hellstorm Missile Pods;Ракетные модули «Адский шторм»;Hellstorm-Raketenbatterie;Cápsulas de misiles tempestad;Cápsulas de misiles Tormenta infernal;Silos à missiles Tornade;Batterie di missili Hellstorm;지옥폭풍 미사일 포;Wyrzutnie rakiet Hellstorm;Lança-mísseis Saraivada;地狱风暴飞弹仓;地獄風暴飛彈艙
The Mediator;Примиритель;Der Mediator;El Mediador;El Mediador;Le Conciliateur;Il mediatore;중재자;Mediator;O mediador;调停者;調停者榴彈
Needle Spines;Костяные иглы;Nadelstacheln;Espinas aguja;Espinas punzantes;Aiguillons perforants;Aculei uncinati;바늘 가시뼈;Igłokolce;Urticárias;骨针;針脊刺
Psionic Shock;Псионный шок;Psi-Schock;Choque psiónico;Impacto psiónico;Choc psionique;Onda d'urto psionica;사이오닉 충격;Fala psioniczna;Choque psiônico;灵能冲击;幽能衝擊
Void Blast;Взрыв Пустоты;Phasenexplosion;Explosión de vacío;Explosión de vacío;Charge du Vide;Scoppio di Vuoto;공허 폭발;Uderzenie pustki;Explosão destruidora;虚空冲击波;虛空炸裂
Pustulant Smash;Заражающий удар;Eiterentladung;Choque pustuloso;Choque pustulante;Smash pustuleux;Schianto purulento;농포 분쇄기;Zainfekowany szpon;Esmagamento pustulento;致疾冲撞;毒膿猛爪
Infested Claws;Зараженные когти;Verseuchte Klauen;Garras infestadas;Garras infestadas;Griffes contaminées;Artigli infestati;감염된 발톱;Zainfekowane szpony;Garras infestadas;被感染的利爪;受感染的爪子
Infested Rifle;Винтовка зараженного террана;Verseuchtes Gewehr;Fusil infestado;Rifle infestado;Fusil contaminé;Fucile infestato;감염된 소총;Zainfekowany karabin;Rifle infestado;被感染的步枪;受感染的步槍
Gauss Rifle;Винтовка Гаусса;Gaußgewehr;Fusil gauss;Rifle Gauss;Fusil Gauss;Fucile gaussiano;가우스 소총;Karabin Gaussa;Rifle Gauss;电磁枪;電磁步槍
Ventorini Beam;Луч «Венторини»;Ventorini-Strahl;Haz ventorini;Rayo Ventorini;Rayon Ventorini;Raggio Ventorini;벤토리니 광선;Promień Ventoriniego;Feixe Ventorini;温拓里尼射线;范特里尼光束
Spines;Шипы;Stacheln;Espinas;Espinas;Aiguillons;Aculei;가시뼈;Kolce;Espinhos;脊刺;脊刺
Prismatic Beam;Призматический луч;Prismastrahl;Haz prismático;Rayo prismático;Rayon prismatique;Raggio prismatico;분광 광선;Wiązka pryzmatyczna;Feixe Prismático;棱镜光束;稜鏡光束
C-20A Canister Rifle;Карабин C-20A;K-20A-Kanistergewehr;Fusil de francotirador C-20A;Rifle de alto calibre C-20A;Fusil de précision C-20A;Fucile di precisione C-20A;C-20A 산탄 소총;Karabin kartaczowy C-20A;Rifle de cilindro C-20A;C-20A型霰弹步枪;C-20A步槍
T800 Cannon;Орудие T800;T800-Kanone;Cañón T800;Cañón T800;Canon T800;Cannone T800;T800 포;Działo T800;Canhão T800;T800型火炮;T800型加農砲
Hellfire Missile Launchers;Ракетные установки «Адское пламя»;Hellfire-Raketenwerfer;Lanzador de misiles averno;Lanzamisiles Estigio;Lance-missiles Feu d’enfer;Lanciamissili Hellfire;지옥불 미사일 발사기;Wyrzutnie rakiet Hellfire;Lançadores de Mísseis Inferno;地狱火飞弹发射器;地獄火飛彈發射器
Scythe Blades;Лезвия-косы;Sensenklingen;Hojas de guadaña;Cuchillas Guadaña;Lames faux;Falci poderose;큰낫 칼날;Ostrza skalpelowe;Lâminas ceifadoras;死神之镰;鐮形巨刃
Head Charge;Удар лбом;Rammstoß;Cabezazo;Cabezazo;Charge de Coup de tête;Incornata;머리 들이받기;Taran;Cabeçada;头冲;頭部撞擊
Perdition Turret Flamethrower;Огнемет турели «Погибель»;Infernoturm - Flammenwerfer;Torreta lanzallamas perdición;Lanzallamas de Torreta Perdición;Lance-flammes de la tourelle Perdition;Lanciafiamme Torretta Perdition;지옥 포탑 화염방사기;Miotacz ognia;Lança-chamas da Torre da Perdição;末日炮塔火焰喷射器;地獄砲台火焰發射器
Robotic Claws;Кибернетические захваты;Robotische Klauen;Garras robóticas;Garras robóticas;Griffes robotiques;Artigli robotici;로봇 발톱;Tytanowe pazury;Garras de titânio;智能机械利爪;機械爪
Psi Discharge;Псионный разряд;Psi-Entladung;Descarga psi;Descarga psi;Décharge psi;Scarica psionica;사이오닉 방출;Wyładowanie psioniczne;Descarga psiônica;灵能释放;幽能放射
Rift Burst;Планетарный скальпель;Riss-Salve;Explosión de falla;Fisura espacial;Déchaînement de la faille;Raffica devastante;연발 균열탄;Rozdarcie szczelinowe;Explosão tectônica;裂隙冲击;星痕爆裂
Psi Blast;Пси-взрыв;Psi-Explosion;Explosión psi;Explosión psiónica;Explosion psi;Assalto psionico;사이오닉 폭발;Wybuch psioniczny;Explosão psiônica;灵能波;幽能炸裂
Razor Talons;Заточенные когти;Messerkrallen;Garras cuchilla;Garras de cuchilla;Serres tranchantes;Artigli taglienti;날카로운 발톱;Brzytwoszpony;Garras de Lâminas;剃刀利爪;利刃爪
SS_Terra Tron Head Tracking;SS_Terra Tron Head Tracking;SS_Terratron - Head Tracking;SS_Terra Tron Head Tracking;SS_Terra Tron Head Tracking;SS_ Tête chercheuse du Terra Tron;SS_Terra Tron Testa Puntamento;슈팅 게임 테라트론 머리 추적;SS_Terratron – śledzenie głowy;SS_Terra Tron Head Tracking;SS_Terra Tron Head Tracking;SS_泰倫金剛_頭部追蹤
Bile Swarm;Разъяренный рой;Gallenschwarm;Enjambre bilioso;Enjambre de bilis;Essaim bilieux;Sciame biliare;갈귀 군단;Chmara żółci;Enxame de cólera;愤怒虫群;暴戾蟲
Anti-Matter Missiles;Ракеты из антиматерии;Anti-Materie-Raketen;Misiles antimateria;Misiles antimateria;Missiles antiaériens;Missili antimateria;반물질 미사일;Rakiety z antymaterią;Mísseis antimatéria;反物质飞弹;反物質飛彈
Photon Blaster;Фотонный бластер;Photonenblaster;Arma láser de fotones;Descarga de fotones;Blaster à photons;Disgregatore fotonico;양자포;Działka fotonowe;Canhões de fótons duplo;光子冲击炮;光子衝擊砲
Weapon;Оружие;Waffe;Arma;Arma;Arme;Arma;무기;Broń;Armamento;武器;武器
Interceptor Beam;Луч перехватчика;Interceptor-Strahl;Haz interceptor;Rayo interceptor;Rayon intercepteur;Raggio Intercettore;요격기 광선;Przechwytywacz – promień;Feixe interceptador;拦截射线;攔截者光束
90mm Cannons;90-мм орудия;90mm-Kanone;Cañones de 90 mm;Cañones de 90 mm;Canons 90 mm;Cannoni da 90mm;90mm 포;Działa 90 mm;Canhões de 90 mm;90毫米口径火炮;90毫米加農砲
Lanzer Torpedoes;Торпеды «Копье»;Lanzer-Torpedos;Torpedos lanzer;Torpedos Lanzor;Torpilles Lanzer;Missili Lanzer;랜저 유도탄;Rakiety Lanzer;Torpedos Lanzer;兰泽尔鱼雷;藍澤爾魚雷
Gatling Cannon;Шестиствольный пулемет;Gatling-Kanone;Cañón gatling;Cañón Gatling;Canon Gatling;Cannone Gatling;개틀링 포;Działko Gatlinga;Canhão Gatling;格林机关炮;格林式加農砲
AGR-14 Gauss Rifle;Винтовка Гаусса AGR-14;AGR-14 Gaußgewehr;Fusil gauss AGR-14;Rifle Gauss AGR-14;Fusil Gauss AGR-14;Fucile gaussiano AGR-14;AGR-14 가우스 소총;Karabin Gaussa AGR-14;Rifle Gauss AGR-14;AGR-14型电磁枪;AGR-14電磁步槍
Eye Beams;Лучи из глаз;Augenstrahlen;Haces oculares;Rayos oculares;Rayons oculaires;Raggi oculari;안광;Promienie z oczu;Feixes oculares;目视射线;眼睛光束
Stun Gun;Оглушающее ружье;Betäubungskanone;Pistola de aturdir;Arma aturdidora;Pistolet étourdissant;Pistola stordente;전기 충격기;Paralizator;Arma de atordoamento;电击枪;震爆槍
Tentacles;Щупальца;Tentakel;Tentáculos;Tentáculos;Tentacules;Tentacoli;촉수;Macki;Tentáculos;触须;觸角
